antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift,p_value,significant_bonferroni,significant_at_kept_alpha
Data Warehouse,Data Analysis,141,272,65,9.8,0.461,1.124,0.09990551298752169,False,False
AI,Database,147,202,65,9.8,0.442,1.451,4.3754001636790904e-05,False,False
Excel,SQL,105,344,64,9.65,0.61,1.175,0.027056793357665622,False,False
API,English,138,241,64,9.65,0.464,1.276,0.004295828604610665,False,False
Statistics,Power BI,116,176,63,9.5,0.543,2.046,1.477819894769932e-12,True,True
Data Science,Data Management,151,200,63,9.5,0.417,1.383,0.00038974673476311066,False,False
Power BI,Statistics,176,116,63,9.5,0.358,2.046,1.477819894769932e-12,True,True
ELT,ETL,63,128,62,9.35,0.984,5.097,8.810238701294277e-50,True,True
API + Machine Learning,Python,69,313,62,9.35,0.899,1.903,4.661099472959324e-15,True,True
Data Warehouse + Database,SQL,71,344,62,9.35,0.873,1.683,3.16043719945555e-11,True,True
Data Visualization,Data Analysis,77,272,62,9.35,0.805,1.963,5.997678112124698e-14,True,True
Data Management + Machine Learning,Python,78,313,62,9.35,0.795,1.684,5.736413817337996e-10,True,True
Database + Machine Learning,Python,80,313,62,9.35,0.775,1.642,3.976055759487879e-09,True,True
Azure,Python,95,313,62,9.35,0.653,1.382,0.00010397163739545384,False,False
API + Python,Machine Learning,97,219,62,9.35,0.639,1.935,1.2701531914692221e-11,True,True
ETL,ELT,128,63,62,9.35,0.484,5.097,8.810238701294277e-50,True,True
Database + SQL,Data Warehouse,141,141,62,9.35,0.44,2.068,2.5195691968295507e-12,True,True
Machine Learning + Python,API,158,138,62,9.35,0.392,1.885,4.37859036654439e-10,True,True
Azure + GCP,AWS,61,115,61,9.2,1.0,5.765,1.68830370481067e-54,True,True
AWS + SQL,Python,70,313,61,9.2,0.871,1.846,2.2642945974912062e-13,True,True
AWS + Azure,GCP,71,81,61,9.2,0.859,7.032,1.0488164316656532e-57,True,True
AWS + GCP,Azure,72,95,61,9.2,0.847,5.913,7.472726433987558e-50,True,True
GCP,Azure,81,95,61,9.2,0.753,5.256,6.847609993988914e-44,True,True
AWS + Python,SQL,86,344,61,9.2,0.709,1.367,9.81321797136267e-05,False,False
Azure,GCP,95,81,61,9.2,0.642,5.256,6.847609993988914e-44,True,True
Statistics,Data Science,116,151,61,9.2,0.526,2.309,4.1942765413163886e-15,True,True
Data Science,Statistics,151,116,61,9.2,0.404,2.309,4.1942765413163886e-15,True,True
Data Analysis + SQL,Tableau,168,92,61,9.2,0.363,2.617,1.7998001724858536e-19,True,True
Data Management + Power BI,SQL,67,344,60,9.05,0.896,1.726,5.74727405428708e-12,True,True
